Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7, C8",C_Disc_D6.0mm_W2.5mm_P5.00mm,3,100nf,
"C2, C3, C4, C5",C_Disc_D3.4mm_W2.1mm_P2.50mm,4,10nf,
C6,CP_Radial_Tantal_D5.0mm_P2.50mm,1,10uf,
"D1, D2, D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,4,4.7v Zener,
J1,KMDGX8SN,1,KMDGX-8S-N,
J2,BarrelJack__Horizontal_Band_Switch,1,AUX Out,
J3,BarrelJack__Horizontal_Band_Switch,1,PTT Rig,
J4,BarrelJack__Horizontal_Band_Switch,1,ICOM Band,
J5,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,I2C Bus,
J6,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,AUX Out,
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,PTT,
J8,PinHeader_1x10_P2.54mm_Vertical_ADC,1,ADC Module Option,
"R1, R3, R5, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,15k,
"R2, R4, R6, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10k,
U1,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,
U2,DIP-8_W7.62mm_Socket,1,24LC32,
