Designator,Mid X,Mid Y,Rotation,Layer
C1,91.694,-64.008,180.0,top
C2,152.8264,-68.6308,0.0,top
C3,141.6304,-65.5012,270.0,top
C4,108.712,-62.992,180.0,top
C5,108.712,-66.04,180.0,top
C6,98.552,-65.487112,90.0,top
C7,133.4516,-78.5622,180.0,top
D1,147.7518,-68.0212,90.0,top
D2,138.3284,-68.0212,270.0,top
D3,116.586,-64.262,0.0,top
D4,110.5408,-73.787,0.0,top
J2,135.075,-55.8375,270.0,top
J3,95.075,-55.8375,270.0,top
J4,155.075,-55.8375,270.0,top
J5,83.058,-68.012,90.0,top
J6,166.37,-65.044,270.0,top
J7,83.058,-50.526,90.0,top
J8,115.1382,-78.613,270.0,top
R1,128.0922,-68.072,270.0,top
R2,155.3972,-71.8312,0.0,top
R3,131.6482,-68.072,270.0,top
R4,135.0264,-68.0212,270.0,top
R5,124.9172,-68.0974,270.0,top
R6,116.586,-61.468,0.0,top
R7,103.378,-70.104,270.0,top
R8,95.6564,-73.914,180.0,top
R9,144.6784,-68.0212,270.0,top
U1,114.944,-69.358,90.0,top
