Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
A1,1,Arduino_Nano_Every-4808,DIP-34_W15.24mm,,,,tht,Arduino Nano Every-4808
"C1, C18, C19, C2, C20, C21, C25, C3, C4, C5, C6",11,10nf,C_Disc_D3.4mm_W2.1mm_P2.50mm,,,,tht,Unpolarized capacitor
"C10, C17",2,2.2uf,CP_Radial_D5.0mm_P2.00mm,,,,tht,Polarized capacitor
"C11, C7",2,10uf,CP_Radial_D5.0mm_P2.00mm,,,,tht,Polarized capacitor
"C12, C22, C24, C8, C9",5,100nf,C_Disc_D6.0mm_W2.5mm_P5.00mm,,,,tht,Unpolarized capacitor
"C13, C14, C15, C16",4,1uf,CP_Radial_D5.0mm_P2.00mm,,,,tht,Polarized capacitor
C23,1,10uf,CP_Radial_D10.0mm_P5.00mm,,,,tht,Polarized capacitor
"D1, D2, D3, D4, D5, D6",6,Zener 4.7v,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,Zener diode
"D10, D11, D12, D7, D8, D9",6,BAT85,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,"30V 0.2A Schottky barrier single diode, DO-35"
J1,1,SWR1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated"
J10,1,Aux In,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J11,1,LPF,JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x08, script generated"
J12,1,Digi In/Out,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated"
J13,1,12v/5v Outputs,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated"
J14,1,TX2/RX2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J15,1,TX0/RX0,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
"J16, J5",2,50v In.,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J17,1,PWM Out,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J18,1,PTT IN,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J19,1,DISPLAY POWER,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated"
J2,1,SWR2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated"
J20,1,5V Output,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J21,1,RS232,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J22,1,UDPI,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated"
"J23, J24",2,12v Output,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J25,1,Temp 2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated"
J26,1,Power Link,AMASS_XT90-M_1x02_P11.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J3,1,I opt Input,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J4,1,RF In Level,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated"
J6,1,Temp,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated"
