pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
121.92,-121.25,180.0,top,A1,,,DIP-34_W15.24mm,Arduino_Nano_Every-4808,tht
95.25,-104.14,-90.0,top,C1,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
178.0,-123.0,0.0,top,C10,,,CP_Radial_D5.0mm_P2.00mm,2.2uf,tht
191.9,-111.56,180.0,top,C11,,,CP_Radial_D5.0mm_P2.00mm,10uf,tht
179.752,-100.838,180.0,top,C12,,,C_Disc_D6.0mm_W2.5mm_P5.00mm,100nf,tht
148.16,-113.17,180.0,top,C13,,,CP_Radial_D5.0mm_P2.00mm,1uf,tht
142.29,-113.17,180.0,top,C14,,,CP_Radial_D5.0mm_P2.00mm,1uf,tht
152.02,-113.06,0.0,top,C15,,,CP_Radial_D5.0mm_P2.00mm,1uf,tht
129.5,-115.68,90.0,top,C16,,,CP_Radial_D5.0mm_P2.00mm,1uf,tht
157.26,-119.36,-90.0,top,C17,,,CP_Radial_D5.0mm_P2.00mm,2.2uf,tht
79.5,-99.5,90.0,top,C18,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
80.0,-118.75,-90.0,top,C19,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
95.25,-88.94,-90.0,top,C2,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
78.435,-90.23,0.0,top,C20,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
87.75,-90.0,180.0,top,C21,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
85.5,-59.75,0.0,top,C22,,,C_Disc_D6.0mm_W2.5mm_P5.00mm,100nf,tht
73.25,-75.0,180.0,top,C23,,,CP_Radial_D10.0mm_P5.00mm,10uf,tht
105.8672,-58.5578,90.0,top,C24,,,C_Disc_D6.0mm_W2.5mm_P5.00mm,100nf,tht
81.7934,-54.6862,180.0,top,C25,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
95.25,-73.7,-90.0,top,C3,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
98.5,-121.25,-90.0,top,C4,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
95.25,-131.75,90.0,top,C5,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
99.2778,-53.1622,0.0,top,C6,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,10nf,tht
101.0,-110.5,180.0,top,C7,,,CP_Radial_D5.0mm_P2.00mm,10uf,tht
180.0,-92.67,90.0,top,C8,,,C_Disc_D6.0mm_W2.5mm_P5.00mm,100nf,tht
100.0,-102.5,90.0,top,C9,,,C_Disc_D6.0mm_W2.5mm_P5.00mm,100nf,tht
95.25,-101.605,90.0,top,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,Zener 4.7v,tht
82.69,-97.0,0.0,top,D10,,,D_DO-35_SOD27_P7.62mm_Horizontal,BAT85,tht
83.88,-129.0,0.0,top,D11,,,D_DO-35_SOD27_P7.62mm_Horizontal,BAT85,tht
