Designator,Footprint,Quantity,Value,LCSC Part #
A1,DIP-34_W15.24mm,1,Arduino_Nano_Every-4808,
"C1, C18, C19, C2, C20, C21, C25, C3, C4, C5, C6",C_Disc_D3.4mm_W2.1mm_P2.50mm,11,10nf,
"C10, C17",CP_Radial_D5.0mm_P2.00mm,2,2.2uf,
"C11, C7",CP_Radial_D5.0mm_P2.00mm,2,10uf,
"C12, C22, C24, C8, C9",C_Disc_D6.0mm_W2.5mm_P5.00mm,5,100nf,
"C13, C14, C15, C16",CP_Radial_D5.0mm_P2.00mm,4,1uf,
C23,CP_Radial_D10.0mm_P5.00mm,1,10uf,
"D1, D2, D3, D4, D5, D6",D_DO-35_SOD27_P7.62mm_Horizontal,6,Zener 4.7v,
"D10, D11, D12, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,6,BAT85,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,SWR1,
J10,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Aux In,
J11,JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical,1,LPF,
J12,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Digi In/Out,
J13,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,12v/5v Outputs,
J14,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,TX2/RX2,
J15,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,TX0/RX0,
"J16, J5",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,50v In.,
J17,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,PWM Out,
J18,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,PTT IN,
J19,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,DISPLAY POWER,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,SWR2,
J20,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,5V Output,
J21,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,RS232,
J22,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,UDPI,
"J23, J24",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,12v Output,
J25,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Temp 2,
J26,AMASS_XT90-M_1x02_P11.00mm_Vertical,1,Power Link,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,I opt Input,
J4,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,RF In Level,
J6,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Temp,
J7,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
J8,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,12v Input,
J9,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,I2c Output,
JP1,SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,1,Jumper 12v,
JP2,SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,1,Jumper 5v,
L1,L_Radial_D7.0mm_P3.00mm,1,68uh,
"Q1, Q2",TO-92_HandSolder,2,2n2222,
"R1, R42, R44, R45, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,1k5,
"R10, R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,680r,
"R11, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4k7,
"R12, R28, R29",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,470r,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100k,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5k1,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k2,
"R17, R18, R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10r,
"R20, R21, R22, R23, R24, R25, R26, R27, R30, R31, R32, R33, R36",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,13,10k,
"R3, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k5-3k3,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3k3,
"R35, R40",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,
"R37, R38",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,R,
"R39, R41",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,220k,
R43,CHSA3920R0003F-MOD,1,Shunt Not Fitted,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470r or 47k opt,
