Designator,Mid X,Mid Y,Rotation,Layer
A1,114.3,-100.93,180.0,top
C1,95.25,-105.39,270.0,top
C10,179.0,-123.0,0.0,top
C11,190.9,-111.56,180.0,top
C12,177.252,-100.838,180.0,top
C13,147.16,-113.17,180.0,top
C14,141.29,-113.17,180.0,top
C15,153.02,-113.06,0.0,top
C16,129.5,-114.68,90.0,top
C17,157.26,-120.36,270.0,top
C18,79.5,-98.25,90.0,top
C19,80.0,-120.0,270.0,top
C2,95.25,-90.19,270.0,top
C20,79.685,-90.23,0.0,top
C21,86.5,-90.0,180.0,top
C22,88.0,-59.75,0.0,top
C23,70.75,-75.0,180.0,top
C24,105.8672,-56.0578,90.0,top
C25,80.5434,-54.6862,180.0,top
C3,95.25,-74.95,270.0,top
C4,98.5,-122.5,270.0,top
C5,95.25,-130.5,90.0,top
C6,100.5278,-53.1622,0.0,top
C7,100.0,-110.5,180.0,top
C8,180.0,-90.17,90.0,top
C9,100.0,-100.0,90.0,top
D1,95.25,-97.795,90.0,top
D10,86.5,-97.0,0.0,top
D11,87.69,-129.0,0.0,top
D12,86.94,-107.25,0.0,top
D2,95.25,-82.55,90.0,top
D3,95.25,-67.31,90.0,top
D4,95.25,-114.305,90.0,top
D5,98.5,-130.5,90.0,top
D6,95.25,-52.075,90.0,top
D7,87.44,-118.75,0.0,top
D8,83.25,-66.55,180.0,top
D9,83.25,-63.0,180.0,top
J1,64.0,-134.5,90.0,top
J10,159.79,-140.0,180.0,top
J11,195.5,-71.514,270.0,top
J12,167.66,-47.5,0.0,top
J13,171.25,-140.0,180.0,top
J14,133.5,-140.0,180.0,top
J15,115.825,-140.0,180.0,top
J16,156.09,-47.5,0.0,top
J17,127.11,-47.5,0.0,top
J18,147.25,-47.5,0.0,top
J19,185.0,-140.0,180.0,top
J2,64.0,-111.25,90.0,top
J20,195.5,-88.5,270.0,top
J21,124.65,-140.0,180.0,top
J22,114.32,-130.73,180.0,top
J23,195.5,-120.09,270.0,top
J24,195.5,-128.85,270.0,top
J25,117.1086,-53.9242,0.0,top
J26,67.75,-58.0,270.0,top
J3,64.0,-95.778,90.0,top
J4,87.75,-47.5,0.0,top
J5,106.69,-47.5,0.0,top
J6,116.88,-47.5,0.0,top
J7,137.24,-47.5,0.0,top
J8,142.28,-140.0,180.0,top
J9,104.475,-140.0,180.0,top
L1,187.5,-122.2225,90.0,top
Q1,174.885,-55.62,270.0,top
Q2,99.615,-60.98,90.0,top
R1,87.0,-110.5,0.0,top
R10,87.75,-136.25,180.0,top
R11,88.0,-52.5,180.0,top
R12,88.19,-56.0,180.0,top
R13,110.5,-63.94,270.0,top
R14,114.25,-63.81,90.0,top
R15,124.87,-60.0,270.0,top
R16,147.5,-60.0,270.0,top
R17,142.42,-60.0,270.0,top
R18,137.34,-60.0,270.0,top
R19,132.26,-60.0,270.0,top
R2,87.19,-114.25,0.0,top
R20,155.0,-71.25,90.0,top
R21,115.75,-87.69,90.0,top
R22,112.0,-87.69,90.0,top
R23,118.25,-63.75,90.0,top
R24,118.2116,-110.0836,90.0,top
R25,114.681,-110.109,90.0,top
R26,72.0,-97.25,90.0,top
R27,90.75,-90.5,90.0,top
R28,145.0,-103.0,180.0,top
R29,145.0,-99.5,180.0,top
R3,86.75,-104.0,0.0,top
R30,72.0,-86.5,90.0,top
R31,91.25,-76.5,90.0,top
R32,114.1608,-98.1294,90.0,top
R33,118.1608,-98.0694,90.0,top
R34,155.5,-60.0,270.0,top
R35,151.75,-60.0,90.0,top
R36,151.25,-78.75,0.0,top
R37,183.02,-49.17,180.0,top
R38,183.04,-52.86,0.0,top
R39,83.56,-74.72,180.0,top
R4,86.75,-100.25,180.0,top
R40,166.31,-56.77,0.0,top
R41,83.56,-70.72,180.0,top
R42,91.25,-66.25,90.0,top
R43,74.25,-59.1,90.0,bottom
R44,110.6424,-110.2614,90.0,top
R45,109.8804,-98.298,90.0,top
R5,99.75,-70.75,270.0,top
R6,64.008,-85.09,90.0,top
R7,87.44,-125.75,0.0,top
R8,87.44,-122.25,180.0,top
R9,87.75,-132.5,0.0,top
SW1,137.59,-130.78,0.0,top
U1,138.61,-71.19,270.0,top
U2,171.31,-78.74,0.0,top
U3,82.44,-83.23,0.0,top
U4,183.81,-72.39,0.0,top
U5,152.54,-87.63,270.0,top
U6,180.093,-114.2075,0.0,top
U7,143.014664,-121.135,270.0,top
U8,134.0,-101.995,90.0,top
U9,78.74,-59.0891,90.0,bottom
