Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_Disc_D6.0mm_W2.5mm_P5.00mm,3,100nf,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4001,
D3,LED_D3.0mm,1,LED_Small,
J1,SMA_Amphenol_132134_Vertical,1,SMA-AMP-In,
J2,N_TYPE,1,N-Type-Antenna,
J3,N_TYPE,1,Rig N-Type,
J4,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,12v Bias Out,
J5,SolderWirePad_1x02_SMD_11x6mm,1,From AMP/LPF Output,
J6,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,PTT,
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,12v Input,
"K1, K2",G2RL1EDC24,2,G2RL-1-E-DC12,
K3,HK4100FDC5VSHG,1,HK4100F-DC12V-SHG,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
SW1,SW_PUSH_6mm,1,SW_Push_Test,
