Designator,Mid X,Mid Y,Rotation,Layer
C1,125.516,-76.2,0.0,top
C2,91.948,-48.808,90.0,top
C3,112.776,-31.496,0.0,top
D1,158.2355,-70.866,0.0,top
D2,87.376,-62.484,270.0,top
D3,169.418,-75.184,180.0,top
H1,88.0,-31.0,90.0,top
H2,88.0,-74.0,90.0,top
H3,180.0,-74.0,90.0,top
H4,180.0,-31.0,90.0,top
J1,127.8725,-35.423,0.0,top
J2,163.682,-50.2,0.0,top
J3,107.6895,-50.2,0.0,top
J4,116.84,-73.426,90.0,top
J5,144.118,-30.557,180.0,top
J6,87.376,-40.914,270.0,top
J7,87.376,-50.018,270.0,top
K1,142.4105,-57.2625,90.0,top
K2,128.2635,-57.2625,90.0,top
K3,104.902,-71.374,0.0,top
R1,157.0825,-75.809,0.0,top
SW1,99.874,-31.206,0.0,top
